trial_index,arm_name,trial_status,generation_method,metric,rho,mu,sigma
111,111_0,COMPLETED,BoTorch,-0.320444792509079,15.443823694068106,35.41976195092542,0.3413413981978546
112,112_0,COMPLETED,BoTorch,-0.2879384756088257,10.659350443925016,57.12645849107157,0.0
113,113_0,COMPLETED,BoTorch,-0.29511940479278564,11.64356860933094,76.54504798406606,0.0
114,114_0,COMPLETED,BoTorch,-0.300573468208313,8.662825754281638,57.06151962855966,0.0
115,115_0,COMPLETED,BoTorch,-0.30459702014923096,9.718699552145349,51.631605010566204,0.22364633640323214
116,116_0,COMPLETED,BoTorch,-0.30338215827941895,11.290534034873225,77.25354929016314,0.17699854874784848
117,117_0,COMPLETED,BoTorch,-0.30063265562057495,12.227508977849388,52.56646907793445,0.0
118,118_0,COMPLETED,BoTorch,-0.30314987897872925,3.7945177147146687,54.293204933001476,0.0
119,119_0,COMPLETED,BoTorch,-0.3030557334423065,6.568437815122694,73.51462824326889,0.0
120,120_0,COMPLETED,BoTorch,-0.3167516589164734,7.967039947920829,46.67791488415742,0.0
121,121_0,COMPLETED,BoTorch,-0.313021719455719,6.682261091251032,100.74564989687619,0.0
122,122_0,COMPLETED,BoTorch,-0.30972611904144287,11.02733025337774,91.21432048307628,0.7092047258368168
123,123_0,COMPLETED,BoTorch,-0.3007846772670746,10.530915764477921,54.49421668179882,0.14168787672648586
124,124_0,COMPLETED,BoTorch,-0.2995426654815674,17.104915434364464,31.233224745867233,1.0
125,125_0,COMPLETED,BoTorch,-0.3407403230667114,0.013960179058787669,205.76704501641302,0.3382336647962735
126,126_0,COMPLETED,BoTorch,-0.5377726554870605,6.0734013034173,10000.0,1.0
127,127_0,COMPLETED,BoTorch,-0.32208627462387085,2.949060869638529,95.97788970803857,0.0
128,128_0,COMPLETED,BoTorch,-0.30672717094421387,14.658996264241894,77.43782695804919,1.0
129,129_0,COMPLETED,BoTorch,-0.3204416334629059,9.722634174331995,43.78089498913444,0.6582691016167768
130,130_0,COMPLETED,BoTorch,-0.31286174058914185,10.060366950128644,66.54430793008488,0.0
131,131_0,COMPLETED,BoTorch,-0.3330516219139099,13.034039851173324,304.4303293437616,0.0
132,132_0,COMPLETED,BoTorch,-0.29829156398773193,16.034201904631438,17.616376341694554,1.0
133,133_0,COMPLETED,BoTorch,-0.2992311716079712,16.897311617190777,34.047477899504266,0.8289484948949823
134,134_0,COMPLETED,BoTorch,-0.30279818177223206,14.73334134503633,28.331402114054992,1.0
135,135_0,COMPLETED,BoTorch,-0.43383651971817017,4.879962470157069,0.001,1.0
136,136_0,COMPLETED,BoTorch,-0.35544681549072266,9.587597946239491,0.36110789886657413,1.0
137,137_0,COMPLETED,BoTorch,-0.32004088163375854,12.328354058841457,124.33319636897356,0.8139576474179283
138,138_0,COMPLETED,BoTorch,-0.2995738387107849,14.397794376925544,30.908308499442363,0.9189731684685728
139,139_0,COMPLETED,BoTorch,-0.5669040679931641,0.001,6850.989327936545,0.0
140,140_0,COMPLETED,BoTorch,-0.3428392708301544,0.10806567101540163,575.7208695828936,0.0
141,141_0,COMPLETED,BoTorch,-0.30929839611053467,11.767896055577806,64.33999242401785,0.09785321413241434
142,142_0,COMPLETED,BoTorch,-0.34916919469833374,0.0601518964053245,467.9125796925892,1.0
143,143_0,COMPLETED,BoTorch,-0.30419883131980896,9.704067662455678,270.2260458804178,0.5880384248552976
144,144_0,COMPLETED,BoTorch,-0.3217999041080475,12.656029008962683,27.158896839944195,1.0
145,145_0,COMPLETED,BoTorch,-0.35685113072395325,21.578857624889725,11.964715946834374,1.0
146,146_0,COMPLETED,BoTorch,-0.3146946430206299,8.362568703757923,18.591863145029123,1.0
147,147_0,COMPLETED,BoTorch,-0.3321983516216278,1.4594845897705782,59.11583939174477,0.0
148,148_0,COMPLETED,BoTorch,-0.30813685059547424,17.823297697683472,48.62465856862167,1.0
149,149_0,COMPLETED,BoTorch,-0.3457595109939575,13.628885905002221,378.4548212827529,0.743924151061372
