trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,beta1,beta2
87,87_0,COMPLETED,BoTorch,-0.7733570337295532,0.04008726699450298,0.3385189368924046,0.0
88,88_0,COMPLETED,BoTorch,-0.2447504997253418,0.015782390196980564,0.580492132938051,0.3496027606948675
89,89_0,COMPLETED,BoTorch,-0.24667489528656006,0.032252746986712356,0.0,0.14539736815432197
90,90_0,COMPLETED,BoTorch,-0.23394067585468292,0.02309087645170163,0.2576252755580163,0.2797088050018626
91,91_0,COMPLETED,BoTorch,-0.24118506908416748,0.02526728542222598,0.16661336255646125,0.20489063036846913
92,92_0,COMPLETED,BoTorch,-0.23882168531417847,0.05216820075183807,0.45918807518733656,0.855227023241281
93,93_0,COMPLETED,BoTorch,-0.24447059631347656,0.011518826556460304,0.3591585890108891,0.23846830886112239
94,94_0,COMPLETED,BoTorch,-0.23624344170093536,0.024998564990549435,0.43492094812115084,0.38523021108947836
95,95_0,COMPLETED,BoTorch,-0.2901981770992279,0.004578371543412043,0.0,0.12202852218564292
96,96_0,COMPLETED,BoTorch,-0.24800249934196472,0.021073104574458334,0.40204562306118596,0.8668938756986031
97,97_0,COMPLETED,BoTorch,-0.24928876757621765,0.014425191081819486,0.10240817713776028,0.7397721032332024
98,98_0,COMPLETED,BoTorch,-0.23582112789154053,0.03620767064324041,0.592669048652894,0.826035778735422
99,99_0,COMPLETED,BoTorch,-0.2587595582008362,0.009785434455014804,0.7501510924161557,0.2404361954426033
100,100_0,COMPLETED,BoTorch,-0.23759904503822327,0.021688275359166925,0.6059141616269903,0.28111835726317613
101,101_0,COMPLETED,BoTorch,-0.5730178356170654,0.00200528388062416,0.999,0.11137518127682952
102,102_0,COMPLETED,BoTorch,-0.267301470041275,0.1076421011630212,0.0,0.8286580998774968
103,103_0,COMPLETED,BoTorch,-0.23319032788276672,0.029030827413556396,0.5580210773641981,0.5808374697923028
104,104_0,COMPLETED,BoTorch,-0.26025599241256714,0.00734864038354749,0.5820675472383828,0.24696658960038978
105,105_0,COMPLETED,BoTorch,-0.25333693623542786,0.013013031806193013,0.217098480858921,0.17911728591729723
106,106_0,COMPLETED,BoTorch,-0.2506742477416992,0.04272959167219554,0.0,0.8451037928153635
107,107_0,COMPLETED,BoTorch,-0.24209406971931458,0.027004932685244516,0.2084127964209498,0.7739333787285305
108,108_0,COMPLETED,BoTorch,-0.2531926929950714,0.013050896397635837,0.0,0.12636599182953814
109,109_0,COMPLETED,BoTorch,-0.24285830557346344,0.03392339048445985,0.09617718504740747,0.4725237632895376
110,110_0,COMPLETED,BoTorch,-0.2584846615791321,0.058645519168306265,0.0,0.1592423374317601
111,111_0,COMPLETED,BoTorch,-0.2403745949268341,0.02124508088198076,0.6932084583832429,0.34301962350068843
112,112_0,COMPLETED,BoTorch,-0.2786341905593872,0.07473536926352708,0.25818279274231665,0.9967583723883824
113,113_0,COMPLETED,BoTorch,-0.23878437280654907,0.029682569271250712,0.28552106938073013,0.37967697554494706
114,114_0,COMPLETED,BoTorch,-0.23935237526893616,0.02676291511279174,0.2619913639829297,0.23839090441555116
115,115_0,COMPLETED,BoTorch,-0.2421702742576599,0.052018541877558507,0.5712830538240969,0.7915686767475086
116,116_0,COMPLETED,BoTorch,-0.2610139548778534,0.007434753974779167,0.0,0.6441160468569964
117,117_0,COMPLETED,BoTorch,-0.24206511676311493,0.02013238108977342,0.41847172431625096,0.2973078014751421
118,118_0,COMPLETED,BoTorch,-0.2544184625148773,0.0140504505762573,0.5405535210687151,0.8073891548702679
119,119_0,COMPLETED,BoTorch,-0.2375962734222412,0.024809101853047993,0.5508388430677754,0.4630930061036937
120,120_0,COMPLETED,BoTorch,-0.24481526017189026,0.022901769230269278,0.0,0.6782129525338536
121,121_0,COMPLETED,BoTorch,-0.2381879985332489,0.02814774044659456,0.5804814430424312,0.3568409287157046
122,122_0,COMPLETED,BoTorch,-0.24249324202537537,0.017619563181891364,0.16183841930582804,0.6387781412130838
123,123_0,COMPLETED,BoTorch,-0.24597050249576569,0.010784262248307551,0.333404157092732,0.7556970755132979
124,124_0,COMPLETED,BoTorch,-0.23616516590118408,0.037212810090050445,0.5099953376320955,0.6251027499222684
125,125_0,COMPLETED,BoTorch,-0.22822202742099762,0.03539589643518329,0.3965150249395375,0.80012121453572
126,126_0,COMPLETED,BoTorch,-0.23422600328922272,0.03207085945403591,0.48916524646623794,0.8229817974401222
127,127_0,COMPLETED,BoTorch,-0.49328601360321045,0.001,0.0,0.0
128,128_0,COMPLETED,BoTorch,-0.5608388185501099,0.0010056223978243087,0.0,0.999
129,129_0,COMPLETED,BoTorch,-0.25226056575775146,0.01159901381849253,0.18671217246688335,0.3448260788029544
130,130_0,COMPLETED,BoTorch,-0.2380691021680832,0.04150983234942175,0.33458522589974066,0.8688000130182283
131,131_0,COMPLETED,BoTorch,-0.23560281097888947,0.034526822084198036,0.6180114415643133,0.7239519376537171
