trial_index,arm_name,trial_status,generation_method,metric,guidance_strength,beta1,beta2,lmbda
23,23_0,COMPLETED,Sobol,-0.7831438183784485,0.1389205542499221,0.12205934951081872,0.4264737897310406,570.158078243046
24,24_0,COMPLETED,Sobol,-0.7952608466148376,0.24704630206112455,0.6640235952939838,0.7453489234428853,9.640930382752224
25,25_0,COMPLETED,Sobol,-0.7891514897346497,1478.985121370767,0.3222607921231538,0.46827580348961056,0.006806074144194468
26,26_0,COMPLETED,Sobol,-0.7823909521102905,142.6504838988374,0.7789715988216922,0.9710717042656616,471.87610022725573
27,27_0,COMPLETED,Sobol,-0.8174293041229248,0.0019193312868443285,0.24633692388888448,0.1879285632194951,0.058929419655877356
28,28_0,COMPLETED,Sobol,-0.7346414923667908,0.017106593064913057,0.9405809556478635,0.3165791476741433,1.126147125940906
29,29_0,COMPLETED,Sobol,-0.7853320837020874,17.56702031458953,0.0379610302420333,0.6004679417833686,1362.785709295973
30,30_0,COMPLETED,Sobol,-0.782942533493042,274.6314305178463,0.6114994419962168,0.0896295622503385,0.0223176310017957
31,31_0,COMPLETED,Sobol,-0.7836709022521973,1.2112284527795274,0.39045587138459087,0.8664483352666721,162.59149606438496
32,32_0,COMPLETED,Sobol,-0.7927636504173279,1.8534429761283318,0.9876013608863577,0.5582705861739814,726.8460187719058
33,33_0,COMPLETED,Sobol,-0.7848494648933411,197.32015884916987,0.022101880545727908,0.2807362898848951,0.28213342828882304
34,34_0,COMPLETED,Sobol,-0.7881720662117004,19.013729840875108,0.564390820780769,0.7837727526230738,5.432266263957083
35,35_0,COMPLETED,Sobol,-0.5700405836105347,0.014385913380283614,0.4062877792250365,0.0005953731788322329,0.0015871789042332855
36,36_0,COMPLETED,Sobol,-0.7622513175010681,0.0022822734679890915,0.6486829638071359,0.3792512904871255,0.012762005052284706
37,37_0,COMPLETED,Sobol,-0.7833367586135864,131.79806695487565,0.36888510375469924,0.6626789082605392,38.48005632652411
38,38_0,COMPLETED,Sobol,-0.7832149863243103,2058.484468160052,0.7943469152944163,0.15208013796899467,1.7638951937468952
39,39_0,COMPLETED,Sobol,-0.7696547508239746,0.1614421186104619,0.1998082713643089,0.9288646725872531,6634.575036104205
40,40_0,COMPLETED,Sobol,-0.8402392864227295,0.09981352505848846,0.524346300280653,0.23533407414425164,124.2711647566354
41,41_0,COMPLETED,Sobol,-0.7841295003890991,9524.282511912868,0.4951120710996911,0.954884928454645,0.029142677857050246
42,42_0,COMPLETED,Sobol,-0.7849020957946777,28.439503308139237,0.9206062881667167,0.48232842551730576,1772.6850445114915
43,43_0,COMPLETED,Sobol,-0.7917869091033936,0.003700114070776029,0.07543922836147249,0.7000775663014501,0.8573081807458958
44,44_0,COMPLETED,Sobol,-0.6882964372634888,0.02562376485481788,0.8641772902272642,0.8211731970151886,0.07412929298351252
45,45_0,COMPLETED,Sobol,-0.7960277795791626,4.507527168594397,0.1475379613637924,0.10368596538808197,369.97058684535045
46,46_0,COMPLETED,Sobol,-0.7842704653739929,830.3931979633511,0.6898554999651387,0.5842773848623037,0.0053577185866095
47,47_0,COMPLETED,Sobol,-0.7843134999275208,1.0422680531999735,0.28283514369372276,0.3639884397089481,12.174950064093846
48,48_0,COMPLETED,Sobol,-0.7694046497344971,0.6652729919207744,0.733081450553611,0.9905922291688621,2.4021028645631732
49,49_0,COMPLETED,Sobol,-0.7832190990447998,521.757033217054,0.26301956195198,0.20743193915113806,4814.20427710424
50,50_0,COMPLETED,BoTorch,-0.6755850911140442,0.03305407543744732,0.36214221510000594,0.2723219192070846,0.001
51,51_0,COMPLETED,BoTorch,-0.614215612411499,0.03232301926006431,0.43483575522158413,0.2349078844378923,0.007785839086949916
52,52_0,COMPLETED,BoTorch,-0.6685212850570679,0.03197377591579783,0.3347590430099754,0.6628988527604305,0.005548044128998393
53,53_0,COMPLETED,BoTorch,-0.743303120136261,0.0303160706286606,0.22989749139947813,0.0,0.006115528385884716
54,54_0,COMPLETED,BoTorch,-0.702675998210907,0.03414212186310476,0.6421033362162166,0.46135280655854694,0.0024945167933635545
55,55_0,COMPLETED,BoTorch,-0.6101174354553223,0.06942805891105523,0.4330693471504059,0.5400452422050135,0.011152798966571559
56,56_0,COMPLETED,BoTorch,-0.557953953742981,0.06618570506914939,0.16873577020817096,0.5806465717171796,0.005362480458696317
57,57_0,COMPLETED,BoTorch,-0.601493775844574,0.05969299316295007,0.17005836962041257,0.7991286083359933,0.004315338836402364
58,58_0,COMPLETED,BoTorch,-0.6025974154472351,0.07600402527701336,0.15172052976361783,0.6775868948357627,0.013883922322484164
59,59_0,COMPLETED,BoTorch,-0.6686917543411255,0.048910070407333674,0.0,0.6034683702694085,0.0035499827469491763
60,60_0,COMPLETED,BoTorch,-0.6254334449768066,0.06683912638918883,0.32759466926035385,0.80097320203649,0.011991271819830267
61,61_0,COMPLETED,BoTorch,-0.592685878276825,0.087949447967562,0.35299071877821747,0.7439055957905568,0.0035564537601486187
62,62_0,COMPLETED,BoTorch,-0.5939134359359741,0.1020968457357562,0.291799855527492,0.5610438926687036,0.0061231015326186295
63,63_0,COMPLETED,BoTorch,-0.6126254200935364,0.07563735918102506,0.29484831815022927,0.6141063051184131,0.015273651415257097
64,64_0,COMPLETED,BoTorch,-0.6796972751617432,0.06571722647577069,0.269077870486098,0.5947522919216865,0.0024412637295292256
65,65_0,COMPLETED,BoTorch,-0.5933457612991333,0.12039721039048297,0.34145314262099774,0.7458618961724444,0.011973359695801154
66,66_0,COMPLETED,BoTorch,-0.6185912489891052,0.09267620153688623,0.2049817810849712,0.955326579268992,0.00790373235582678
67,67_0,COMPLETED,BoTorch,-0.6169617772102356,0.09300352042729824,0.2741748243973448,0.8470855891059204,0.027853343740107634
68,68_0,COMPLETED,BoTorch,-0.6245293021202087,0.10501634087413017,0.2361051613128576,0.5470590496286759,0.020471454226227866
69,69_0,COMPLETED,BoTorch,-0.5583533048629761,0.07141768135513366,0.3578058465305081,0.9978795826273881,0.005081604740764664
70,70_0,COMPLETED,BoTorch,-0.6135079860687256,0.10566937148383485,0.415761496156226,0.999,0.009613969005835948
71,71_0,COMPLETED,BoTorch,-0.5726641416549683,0.043288330477139016,0.30935576106965973,0.9915646473116838,0.009000829434745242
72,72_0,COMPLETED,BoTorch,-0.6058972477912903,0.04919636461909805,0.14702294598155133,0.999,0.011097562482156584
73,73_0,COMPLETED,BoTorch,-0.5806792974472046,0.051171613206295714,0.47171211122633716,0.999,0.011349560739630952
74,74_0,COMPLETED,BoTorch,-0.6858804225921631,0.05353991195821456,0.29083220503263096,0.999,0.001948613729422622
75,75_0,COMPLETED,BoTorch,-0.6157662272453308,0.05206331625643586,0.3265611727530591,0.9005775779552567,0.017881873050412927
76,76_0,COMPLETED,BoTorch,-0.6142128705978394,0.0741984198269346,0.46773955360541714,0.7935292460559931,0.01185751847355733
